enum	declarations	definitions	legacy_abi
AIDebugOptions	GeneralsMD/Code/GameEngine/Include/Common/GlobalData.h	GeneralsMD/Code/GameEngine/Include/GameLogic/AI.h	int32-values-preserved
AIStateType	GeneralsMD/Code/GameEngine/Include/GameLogic/Module/AIUpdate.h	GeneralsMD/Code/GameEngine/Include/GameLogic/AIStateMachine.h	int32-values-preserved
AbleToAttackType	GeneralsMD/Code/GameEngine/Include/Common/ActionManager.h	GeneralsMD/Code/GameEngine/Include/Common/GameCommon.h	int32-values-preserved
AcademyClassificationType	GeneralsMD/Code/GameEngine/Include/Common/SpecialPower.h;GeneralsMD/Code/GameEngine/Include/Common/Upgrade.h	GeneralsMD/Code/GameEngine/Include/Common/AcademyStats.h	int32-values-preserved
AnimTypes	GeneralsMD/Code/GameEngine/Include/GameClient/Shell.h	GeneralsMD/Code/GameEngine/Include/GameClient/AnimateWindowManager.h	int32-values-preserved
ArmorSetType	GeneralsMD/Code/GameEngine/Include/GameLogic/Object.h	GeneralsMD/Code/GameEngine/Include/GameLogic/ArmorSet.h	int32-values-preserved
AttitudeType	GeneralsMD/Code/GameEngine/Include/Common/Team.h	GeneralsMD/Code/GameEngine/Include/GameLogic/AI.h	int32-values-preserved
AudioAffect	GeneralsMD/Code/GameEngine/Include/Common/GameAudio.h;GeneralsMD/Code/GameEngine/Include/GameLogic/ScriptActions.h	GeneralsMD/Code/GameEngine/Include/Common/AudioAffect.h	int32-values-preserved
AudioPriority	GeneralsMD/Code/GameEngine/Include/Common/AudioEventRTS.h	GeneralsMD/Code/GameEngine/Include/Common/AudioEventInfo.h	int32-values-preserved
AudioType	GeneralsMD/Code/GameEngine/Include/Common/GameAudio.h	GeneralsMD/Code/GameEngine/Include/Common/AudioEventInfo.h	int32-values-preserved
BodyDamageType	GeneralsMD/Code/GameEngine/Include/Common/GlobalData.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Locomotor.h;GeneralsMD/Code/GameEngine/Include/GameClient/Drawable.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/DamageModule.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/BoneFXDamage.h	GeneralsMD/Code/GameEngine/Include/GameLogic/Module/BodyModule.h	int32-values-preserved
BridgeTowerType	GeneralsMD/Code/GameEngine/Include/GameLogic/Module/BridgeBehavior.h	GeneralsMD/Code/GameEngine/Include/GameClient/TerrainRoads.h	int32-values-preserved
BuildableStatus	GeneralsMD/Code/GameEngine/Include/GameLogic/GameLogic.h	GeneralsMD/Code/GameEngine/Include/Common/ThingTemplate.h	int32-values-preserved
CanAttackResult	GeneralsMD/Code/GameEngine/Include/Common/ActionManager.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Object.h;GeneralsMD/Code/GameEngine/Include/GameClient/InGameUI.h	GeneralsMD/Code/GameEngine/Include/GameLogic/WeaponSet.h	int32-values-preserved
CommandOption	GeneralsMD/Code/GameEngine/Include/GameLogic/Module/UpdateModule.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/BattlePlanUpdate.h	GeneralsMD/Code/GameEngine/Include/GameClient/ControlBar.h	int32-values-preserved
CommandSourceType	GeneralsMD/Code/GameEngine/Include/Common/ActionManager.h;GeneralsMD/Code/GameEngine/Include/GameLogic/WeaponSet.h;GeneralsMD/Code/GameEngine/Include/GameLogic/AI.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Object.h;GeneralsMD/Code/GameEngine/Include/GameClient/ControlBar.h;GeneralsMD/Code/GameEngine/Include/Common/Player.h;GeneralsMD/Code/GameEngine/Include/GameLogic/PartitionManager.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/ContainModule.h	GeneralsMD/Code/GameEngine/Include/Common/GameCommon.h	int32-values-preserved
DamageType	GeneralsMD/Code/GameEngine/Include/GameLogic/WeaponSet.h	GeneralsMD/Code/GameEngine/Include/GameLogic/Damage.h	int32-values-preserved
DrawableID	GeneralsMD/Code/GameEngine/Include/Common/MessageStream.h;GeneralsMD/Code/GameEngine/Include/Common/STLTypedefs.h;GeneralsMD/Code/GameEngine/Include/Common/Xfer.h	GeneralsMD/Code/GameEngine/Include/Common/GameType.h	int32-values-preserved
EditorSortingType	GeneralsMD/Code/GameEngine/Include/Common/ThingTemplate.h	GeneralsMD/Code/GameEngine/Include/Common/ThingSort.h	int32-values-preserved
EvaMessage	GeneralsMD/Code/GameEngine/Include/GameLogic/Module/StealthUpdate.h	GeneralsMD/Code/GameEngine/Include/GameClient/Eva.h	int32-values-preserved
FilterModes	GeneralsMD/Code/GameEngine/Include/GameClient/View.h	GeneralsMD/Code/GameEngine/Include/GameClient/CommandXlat.h	int32-values-preserved
FilterTypes	GeneralsMD/Code/GameEngine/Include/GameClient/View.h	GeneralsMD/Code/GameEngine/Include/GameClient/CommandXlat.h	int32-values-preserved
GUICommandType	GeneralsMD/Code/GameEngine/Include/GameLogic/AI.h;GeneralsMD/Code/GameEngine/Include/GameClient/CommandXlat.h	GeneralsMD/Code/GameEngine/Include/GameClient/ControlBar.h	int32-values-preserved
GadgetGameMessage	GeneralsMD/Code/GameEngine/Include/GameClient/ControlBar.h	GeneralsMD/Code/GameEngine/Include/GameClient/Gadget.h	int32-values-preserved
HackerAttackMode	GeneralsMD/Code/GameEngine/Include/GameLogic/AI.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Object.h	none-original-forward-only	int32-values-preserved
KindOfType	GeneralsMD/Code/GameEngine/Include/Common/Xfer.h;GeneralsMD/Code/GameEngine/Include/GameClient/InGameUI.h	GeneralsMD/Code/GameEngine/Include/Common/KindOf.h	int32-values-preserved
LegalBuildCode	GeneralsMD/Code/GameEngine/Include/GameClient/InGameUI.h	GeneralsMD/Code/GameEngine/Include/Common/BuildAssistant.h	int32-values-preserved
ModelConditionFlagType	GeneralsMD/Code/GameEngine/Include/GameLogic/Module/MobMemberSlavedUpdate.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/ModelConditionUpgrade.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/SlavedUpdate.h	GeneralsMD/Code/GameEngine/Include/Common/ModelState.h	int32-values-preserved
NameKeyType	GeneralsMD/Code/GameEngine/Include/Common/STLTypedefs.h;GeneralsMD/Code/GameEngine/Include/Common/Upgrade.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Object.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Weapon.h	GeneralsMD/Code/GameEngine/Include/Common/NameKeyGenerator.h	int32-values-preserved
ObjectID	GeneralsMD/Code/GameEngine/Include/Common/MessageStream.h;GeneralsMD/Code/GameEngine/Include/Common/STLTypedefs.h;GeneralsMD/Code/GameEngine/Include/Common/Xfer.h;GeneralsMD/Code/GameEngine/Include/GameLogic/GhostObject.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/AIUpdate.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/PhysicsUpdate.h;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Behavior/PropagandaTowerBehavior.cpp	GeneralsMD/Code/GameEngine/Include/Common/GameType.h	int32-values-preserved
ParticlePriorityType	GeneralsMD/Code/GameEngine/Include/Common/GameLOD.h	GeneralsMD/Code/GameEngine/Include/GameClient/ParticleSys.h	int32-values-preserved
PhysicsTurningType	GeneralsMD/Code/GameEngine/Include/GameLogic/Locomotor.h	GeneralsMD/Code/GameEngine/Include/GameLogic/Module/PhysicsUpdate.h	int32-values-preserved
ProductionID	GeneralsMD/Code/GameEngine/Include/GameClient/ControlBar.h	GeneralsMD/Code/GameEngine/Include/GameLogic/Module/ProductionUpdate.h	int32-values-preserved
ProductionType	GeneralsMD/Code/GameEngine/Include/GameClient/ControlBar.h	GeneralsMD/Code/GameEngine/Include/GameLogic/Module/ProductionUpdate.h	int32-values-preserved
RadarPriorityType	GeneralsMD/Code/GameEngine/Include/Common/ThingTemplate.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Object.h	GeneralsMD/Code/GameEngine/Include/Common/Radar.h	int32-values-preserved
RadiusCursorType	GeneralsMD/Code/GameEngine/Include/GameClient/ControlBar.h	GeneralsMD/Code/GameEngine/Include/GameClient/InGameUI.h	int32-values-preserved
ScienceType	GeneralsMD/Code/GameEngine/Include/Common/INI.h;GeneralsMD/Code/GameEngine/Include/Common/ThingTemplate.h;GeneralsMD/Code/GameEngine/Include/Common/SpecialPower.h;GeneralsMD/Code/GameEngine/Include/Common/Xfer.h;GeneralsMD/Code/GameEngine/Include/GameLogic/CrateSystem.h;GeneralsMD/Code/GameEngine/Include/GameClient/ControlBar.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/BaikonurLaunchPower.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/CashHackSpecialPower.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/CrateCollide.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/DefectorSpecialPower.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/FireWeaponPower.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/SpectreGunshipDeploymentUpdate.h	GeneralsMD/Code/GameEngine/Include/Common/Science.h	int32-values-preserved
ShadowType	GeneralsMD/Code/GameEngine/Include/Common/ThingTemplate.h;GeneralsMD/Code/GameEngine/Include/GameClient/InGameUI.h;GeneralsMD/Code/GameEngine/Include/GameClient/RadiusDecal.h	GeneralsMD/Code/GameEngine/Include/GameClient/Shadow.h	int32-values-preserved
SpecialPowerType	GeneralsMD/Code/GameEngine/Include/Common/ActionManager.h;GeneralsMD/Code/GameEngine/Include/GameLogic/AI.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Object.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/SpecialAbilityUpdate.h	GeneralsMD/Code/GameEngine/Include/Common/SpecialPowerType.h	int32-values-preserved
